Type,Product,Unit,TickSize
futures,AP,10,1.0
futures,CF,5,5.0
futures,CJ,5,5.0
futures,CY,5,5.0
futures,FG,20,1.0
futures,JR,20,1.0
futures,LR,20,1.0
futures,MA,10,1.0
futures,OI,10,1.0
futures,PF,5,2.0
futures,PK,5,2.0
futures,PM,50,1.0
futures,RI,20,1.0
futures,RM,10,1.0
futures,RS,10,1.0
futures,SA,20,1.0
futures,SF,5,2.0
futures,SM,5,2.0
futures,SR,10,1.0
futures,TA,5,2.0
futures,UR,20,1.0
futures,WH,20,1.0
futures,ZC,100,0.2
option,CF,5,1.0
option,MA,10,0.5
option,OI,10,0.5
option,PK,5,0.5
option,RM,10,0.5
option,SR,10,0.5
option,TA,5,0.5
option,ZC,100,0.1
