证劵代码,证劵简称,交易日期,开盘价,最高价,最低价,收盘价,成交数量(股),
"00001-HKG","长和","2023-08-03","47","47.25","46.3","46.3","5947109",
"00002-HKG","中电控股","2023-08-03","62.25","63","62","62.6","2003080",
"00003-HKG","香港中华煤气","2023-08-03","6.5","6.55","6.45","6.46","12797874",
"00004-HKG","九龙仓集团","2023-08-03","17.54","17.62","17.42","17.48","520257",
"00005-HKG","汇丰控股","2023-08-03","63.35","63.95","62.7","62.9","35635555",
"00006-HKG","电能实业","2023-08-03","40.7","41.4","40.35","40.55","3039424",
"00007-HKG","智富资源投资","2023-08-03","0.151","0.17","0.15","0.168","1790000",
"00008-HKG","电讯盈科","2023-08-03","3.97","4","3.96","3.99","2474467",
"00009-HKG","金奥国际","2023-08-03","null","null","null","0.018","0",
"00010-HKG","恒隆集团","2023-08-03","11.9","11.9","11.6","11.76","260000",
"00011-HKG","恒生银行","2023-08-03","110.9","110.9","108.8","109","2089652",
"00012-HKG","恒基地产","2023-08-03","22.95","23.35","22.9","23","1239431",
"00013-HKG","和黄医药","2023-08-03","22.65","24.1","22.35","23.95","5371378",
"00014-HKG","希慎兴业","2023-08-03","18.02","18.42","17.98","18.1","549452",
"00016-HKG","新鸿基地产","2023-08-03","96.05","96.95","95.55","96","3214621",
"00017-HKG","新世界发展","2023-08-03","18.46","18.54","18.22","18.24","3086834",
"00018-HKG","东方企控集团","2023-08-03","0.57","0.58","0.57","0.58","96000",
"00019-HKG","太古股份公司A","2023-08-03","63.7","63.95","63","63.65","1031564",
"00020-HKG","商汤-W","2023-08-03","1.75","1.79","1.74","1.76","106487612",
"00021-HKG","大中华控股","2023-08-03","0.099","0.099","0.093","0.093","85000",
"00022-HKG","茂盛控股","2023-08-03","null","null","null","0.07","0",
"00023-HKG","东亚银行","2023-08-03","11.86","12.1","11.84","12.04","836860",
"00025-HKG","CHEVALIER INT'L","2023-08-03","null","null","null","7","0",
"00026-HKG","中华汽车","2023-08-03","68","68","68","68","400",
"00027-HKG","银河娱乐","2023-08-03","54.8","56","54.3","55.45","4389004",
"00028-HKG","天安","2023-08-03","null","null","null","4.02","0",
"00029-HKG","达力集团","2023-08-03","null","null","null","11.58","0",
"00030-HKG","万隆控股集团","2023-08-03","null","null","null","null","null",
"00031-HKG","航天控股","2023-08-03","0.39","0.39","0.385","0.385","150000",
"00032-HKG","港通控股","2023-08-03","8.86","8.86","8.86","8.86","1970",
"00033-HKG","INTL GENIUS","2023-08-03","8.34","8.44","8.19","8.44","280400",
"00034-HKG","九龙建业","2023-08-03","8.11","8.11","8.07","8.09","122000",
"00035-HKG","远东发展","2023-08-03","1.83","1.84","1.82","1.84","915434",
"00036-HKG","远东控股国际","2023-08-03","0.115","0.117","0.107","0.117","318000",
"00037-HKG","远东酒店实业","2023-08-03","1.3","1.32","1.26","1.31","3262000",
"00038-HKG","第一拖拉机股份","2023-08-03","3.83","3.83","3.75","3.8","1074000",
"00039-HKG","中国北大荒","2023-08-03","0.09","0.094","0.088","0.093","1792000",
"00040-HKG","金山科技工业","2023-08-03","null","null","null","0.52","0",
"00041-HKG","鹰君","2023-08-03","14.16","14.32","14.16","14.22","73530",
"00042-HKG","东北电气","2023-08-03","0.25","0.25","0.25","0.25","10000",
"00045-HKG","大酒店","2023-08-03","6.93","6.93","6.8","6.84","154000",
"00046-HKG","科联系统","2023-08-03","null","null","null","2.3","0",
"00048-HKG","中国汽车内饰","2023-08-03","null","null","null","0.26","0",
